2023-01-19 17:31:53 [INFO] ...are/nvim/site/pack/packer/start/nvim-gdb/lua/nvimgdb.lua:23: 	"New session gdb"
2023-01-19 17:31:53 [DEBUG] ...nvim/site/pack/packer/start/nvim-gdb/lua/nvimgdb/app.lua:26: 	{ "function App.new(", "gdb", "gdb_wrap.sh", "gdb -q a.out", ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:94: 	{ "function Config.new()" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<f4>", "key_until", {}, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", <function 1>, "unset_keymaps", {    ["<f4>"] = "key_until"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", <function 1>, "set_keymaps", {    ["<f4>"] = "key_until"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" }, "sign_breakpoint", {    ["<f4>"] = "key_until"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "belowright new", "termwin_command", {    ["<f4>"] = "key_until"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "new", "codewin_command", {    ["<f4>"] = "key_until"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", 5, "set_scroll_off", {    ["<f4>"] = "key_until"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<f9>", "key_eval", {    ["<f4>"] = "key_until"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<c-n>", "key_framedown", {    ["<f4>"] = "key_until",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<c-p>", "key_frameup", {    ["<c-n>"] = "key_framedown",    ["<f4>"] = "key_until",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<f8>", "key_breakpoint", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f4>"] = "key_until",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", true, "sticky_dbg_buf", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f4>"] = "key_until",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", true, "jump_bottom_gdb_buf", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f4>"] = "key_until",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<f12>", "key_finish", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f4>"] = "key_until",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<f11>", "key_step", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f12>"] = "key_finish",    ["<f4>"] = "key_until",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", <function 1>, "set_tkeymaps", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f11>"] = "key_step",    ["<f12>"] = "key_finish",    ["<f4>"] = "key_until",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<f10>", "key_next", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f11>"] = "key_step",    ["<f12>"] = "key_finish",    ["<f4>"] = "key_until",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", 10, "sign_breakpoint_priority", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f10>"] = "key_next",    ["<f11>"] = "key_step",    ["<f12>"] = "key_finish",    ["<f4>"] = "key_until",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "<f5>", "key_continue", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f10>"] = "key_next",    ["<f11>"] = "key_step",    ["<f12>"] = "key_finish",    ["<f4>"] = "key_until",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:153: 	{ "function Config:_check_keymap_conflicts(", "▶", "sign_current_line", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f10>"] = "key_next",    ["<f11>"] = "key_step",    ["<f12>"] = "key_finish",    ["<f4>"] = "key_until",    ["<f5>"] = "key_continue",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, true, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:120: 	{ "function Config:_apply_overrides(", {    ["<c-n>"] = "key_framedown",    ["<c-p>"] = "key_frameup",    ["<f10>"] = "key_next",    ["<f11>"] = "key_step",    ["<f12>"] = "key_finish",    ["<f4>"] = "key_until",    ["<f5>"] = "key_continue",    ["<f8>"] = "key_breakpoint",    ["<f9>"] = "key_eval"  }, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:170: 	{ "function Config:_define_signs()" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/client.lua:32: 	{ "function Client.new(", {    config = {      codewin_command = "new",      jump_bottom_gdb_buf = true,      key_breakpoint = "<f8>",      key_continue = "<f5>",      key_eval = "<f9>",      key_finish = "<f12>",      key_framedown = "<c-n>",      key_frameup = "<c-p>",      key_next = "<f10>",      key_step = "<f11>",      key_until = "<f4>",      set_keymaps = <function 1>,      set_scroll_off = 5,      set_tkeymaps = <function 2>,      sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },      sign_breakpoint_priority = 10,      sign_current_line = "▶",      sticky_dbg_buf = true,      termwin_command = "belowright new",      unset_keymaps = <function 3>    },    <metatable> = <1>{      __index = <table 1>,      _apply_overrides = <function 4>,      _check_keymap_conflicts = <function 5>,      _define_signs = <function 6>,      get = <function 7>,      get_or = <function 8>,      new = <function 9>    }  }, "gdb_wrap.sh", "gdb -q a.out", ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:183: 	{ "function Config:get(", "termwin_command", ")" }
2023-01-19 17:31:53 [INFO] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/client.lua:35: 	"termwin_command"	"belowright new"
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/config.lua:183: 	{ "function Config:get(", "termwin_command", ")" }
2023-01-19 17:31:53 [DEBUG] ...im/site/pack/packer/start/nvim-gdb/lua/nvimgdb/proxy.lua:19: 	{ "function Proxy.new(", {    buf_hidden_auid = -1,    client_buf = 20,    command = "/home/lain/.local/share/nvim/site/pack/packer/start/nvim-gdb/lib/gdb_wrap.sh -a /tmp/nvimgdb-sock-84NrVp/port -- gdb -q a.out",    config = {      config = {        codewin_command = "new",        jump_bottom_gdb_buf = true,        key_breakpoint = "<f8>",        key_continue = "<f5>",        key_eval = "<f9>",        key_finish = "<f12>",        key_framedown = "<c-n>",        key_frameup = "<c-p>",        key_next = "<f10>",        key_step = "<f11>",        key_until = "<f4>",        set_keymaps = <function 1>,        set_scroll_off = 5,        set_tkeymaps = <function 2>,        sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },        sign_breakpoint_priority = 10,        sign_current_line = "▶",        sticky_dbg_buf = true,        termwin_command = "belowright new",        unset_keymaps = <function 3>      },      <metatable> = <1>{        __index = <table 1>,        _apply_overrides = <function 4>,        _check_keymap_conflicts = <function 5>,        _define_signs = <function 6>,        get = <function 7>,        get_or = <function 8>,        new = <function 9>      }    },    has_interacted = false,    is_active = false,    proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",    sock_dir = "/tmp/nvimgdb-sock-84NrVp",    win = 1051,    <metatable> = <2>{      __index = <table 2>,      _check_sticky = <function 10>,      _cleanup_buf_hidden = <function 11>,      cleanup = <function 12>,      get_buf = <function 13>,      get_proxy_addr = <function 14>,      interrupt = <function 15>,      mark_has_interacted = <function 16>,      new = <function 17>,      send_line = <function 18>,      start = <function 19>    }  }, ")" }
2023-01-19 17:31:53 [DEBUG] ...m/site/pack/packer/start/nvim-gdb/lua/nvimgdb/client.lua:168: 	{ "function Client:get_proxy_addr()" }
2023-01-19 17:31:53 [DEBUG] ...te/pack/packer/start/nvim-gdb/lua/nvimgdb/breakpoint.lua:21: 	{ "function Breakpoint.new(", <1>{    config = {      codewin_command = "new",      jump_bottom_gdb_buf = true,      key_breakpoint = "<f8>",      key_continue = "<f5>",      key_eval = "<f9>",      key_finish = "<f12>",      key_framedown = "<c-n>",      key_frameup = "<c-p>",      key_next = "<f10>",      key_step = "<f11>",      key_until = "<f4>",      set_keymaps = <function 1>,      set_scroll_off = 5,      set_tkeymaps = <function 2>,      sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },      sign_breakpoint_priority = 10,      sign_current_line = "▶",      sticky_dbg_buf = true,      termwin_command = "belowright new",      unset_keymaps = <function 3>    },    <metatable> = <2>{      __index = <table 2>,      _apply_overrides = <function 4>,      _check_keymap_conflicts = <function 5>,      _define_signs = <function 6>,      get = <function 7>,      get_or = <function 8>,      new = <function 9>    }  }, {    client = {      buf_hidden_auid = -1,      client_buf = 20,      command = "/home/lain/.local/share/nvim/site/pack/packer/start/nvim-gdb/lib/gdb_wrap.sh -a /tmp/nvimgdb-sock-84NrVp/port -- gdb -q a.out",      config = <table 1>,      has_interacted = false,      is_active = false,      proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",      sock_dir = "/tmp/nvimgdb-sock-84NrVp",      win = 1051,      <metatable> = <3>{        __index = <table 3>,        _check_sticky = <function 10>,        _cleanup_buf_hidden = <function 11>,        cleanup = <function 12>,        get_buf = <function 13>,        get_proxy_addr = <function 14>,        interrupt = <function 15>,        mark_has_interacted = <function 16>,        new = <function 17>,        send_line = <function 18>,        start = <function 19>      }    },    proxy_addr = "/tmp/nvimgdb-sock-84NrVp/port",    sock = <userdata 1>,    <metatable> = <4>{      __index = <table 4>,      _ensure_connected = <function 20>,      cleanup = <function 21>,      new = <function 22>,      query = <function 23>    }  }, <function 24>, ")" }
2023-01-19 17:31:53 [DEBUG] .../site/pack/packer/start/nvim-gdb/lua/nvimgdb/keymaps.lua:14: 	{ "function Keymaps.new(", {    config = {      codewin_command = "new",      jump_bottom_gdb_buf = true,      key_breakpoint = "<f8>",      key_continue = "<f5>",      key_eval = "<f9>",      key_finish = "<f12>",      key_framedown = "<c-n>",      key_frameup = "<c-p>",      key_next = "<f10>",      key_step = "<f11>",      key_until = "<f4>",      set_keymaps = <function 1>,      set_scroll_off = 5,      set_tkeymaps = <function 2>,      sign_breakpoint = { "●", "●²", "●³", "●⁴", "●⁵", "●⁶", "●⁷", "●⁸", "●⁹", "●ⁿ" },      sign_breakpoint_priority = 10,      sign_current_line = "▶",      sticky_dbg_buf = true,      termwin_command = "belowright new",      unset_keymaps = <function 3>    },    <metatable> = <1>{      __index = <table 1>,      _apply_overrides = <function 4>,      _check_keymap_conflicts = <function 5>,      _define_signs = <function 6>,      get = <function 7>,      get_or = <function 8>,      new = <function 9>    }  }, ")" }
